optimal_gap,success,objective_value
50,1,0.4
0,1,1
100,0,2.22044604925031E-16
81.82,1,0.102564102564102
42.57,1,1.34883720930232
0,1,0.200000000000001
0,1,2.28571428571429
0,1,0.0869565217391255
66.67,1,2
0,1,0.0270270270270245
50,1,0.780952380952384
76.49,1,0.281481481481485
80,1,2
66.67,1,2
50,1,2
50,1,0.333333333333329
0,1,1.49999999999999
50,1,0.500000000000002
67.74,1,0.64516129032258
85.71,1,0.999999999999998
92,1,0.0437158469945271
60,1,2
0,1,2
0,1,1.33333333333334
36.7,1,4.6
44.62,1,2
80,1,0.0740740740740744
33.33,1,0.666666666666666
53.85,1,0.193548387096767
12,1,2.51428571428571
33.33,1,1.33333333333333
60.87,1,0.749999999999999
84.03,1,0.14232209737828
66.67,1,2
40,1,1.2
0,1,1.2
5,1,5.99999999999999
0,1,2.5
0,1,0.499999999999996
80,1,1
0,1,0.0835654596100301
46.48,1,0.282527881040902
100,0,-4.88498130835069E-15
36.36,1,1.16666666666667
16.67,1,5
0,1,0.500000000000001
27.69,1,1.34285714285714
33.33,1,6
25,1,0.428571428571429
91.76,1,0.0639269406392664
0,1,4
100,0,0
57.14,1,0.250000000000001
46.24,1,2
75,1,0.0625000000000089
72.41,1,0.168421052631584
71.88,1,0.0974289580514007
50,1,0.5
55.56,1,0.421052631578949
0,1,0.363636363636362
88.89,1,1
20,1,0.434782608695643
0,1,0.999999999999999
0,1,2
26.15,1,3.29576541895325
0,1,0.666666666666668
35.42,1,0.486787204450627
0,1,0.500000000000001
50,1,0.400000000000001
91.3,1,0.0363636363636379
33.33,1,0.0769230769230749
0,1,3.10526315789475
66.67,1,0.11764705882353
0,1,1.26
57.14,1,0.0269058295964193
78.57,1,1.5
57.14,1,1.5
0,1,0.444444444444442
20,1,4
88.89,1,0.0481927710843308
60,1,4
62.96,1,0.714285714285714
64.32,1,0.596428571428568
46.67,1,0.500000000000001
80,1,0.100000000000001
50,1,0.0952380952380985
0,1,2
40,1,1
0,1,2.2
20,1,4
0,1,2.04166666666667
88.89,1,0.0523560209424101
21.18,1,1.21818181818182
33.33,1,2
0,1,0.153846153846155
70,1,3
73.81,1,0.105769230769237
50,1,2
66.67,1,0.121951219512196
34.73,1,1.21111111111111
41.8165,,
